,store,sido,gungu,store_address
256,수유화계점,서울특별시,강북구,서울시 강북구 노해로17길 51
257,창5점(쌍용),서울특별시,도봉구,서울 도봉구 마들로 551
258,미아삼거리점,서울특별시,강북구,서울 강북구 월계로 3길 68 2층
259,광희점,서울특별시,중구,서울특별시 중구 마른내로 163
260,연희점,서울특별시,서대문구,서울특별시 서대문구 증가로 34(연희동)
261,보문점,서울특별시,성북구,서울시 성북구 보문로109
262,정릉점,서울특별시,성북구,서울시 성북구 보국문로 75
263,청구점,서울특별시,중구,서울시 중구 동호로12길 88(신당동
264,서교점,서울특별시,마포구,서울시 마포구 성미산로17길 84
265,방학점,서울특별시,도봉구,서울시 도봉구 방학로 200-20
266,북가좌점,서울특별시,서대문구,서울시 서대문구 북가좌동 347-27
267,경희대점,서울특별시,동대문구,서울시 동대문구 청량리 1동 55-34
268,후암점,서울특별시,용산구,서울시 용산구 동자동 19-33
269,염리점,서울특별시,마포구,서울시 마포구 숭문4길 5
270,도화점,서울특별시,마포구,서울시 마포구 도화1동 25-4
271,이태원점,서울특별시,용산구,서울시 용산구 이태원동 225-60
272,응봉점,서울특별시,성동구,서울시 성동구 응봉동 193-118 1층
273,응암점,서울특별시,은평구,서울시 은평구 응암동 239-18
274,역촌점,서울특별시,은평구,서울시 은평구 역촌동 34-1
275,우이점,서울특별시,강북구,서울시 강북구 우이동 72-65
276,수유점,서울특별시,강북구,서울시 강북구 수유동 310-1
277,번동점,서울특별시,강북구,서울시 강북구 번동 148-42 1층 101호
278,창동점,서울특별시,도봉구,서울시 도봉구 창동 596-1 대우APT 상가 144
279,쌍문점,서울특별시,도봉구,서울시 도봉구 시루봉로2길 66 1층 102호
280,도봉2점,서울특별시,도봉구,서울시 도봉구 도봉동 635-13
281,녹천점,서울특별시,도봉구,서울시 도봉구 창동 38-1 주공17단지상가 101
282,월계미성점,서울특별시,노원구,서울시 노원구 월계동 17 미성상가 103
283,중계주공점,서울특별시,노원구,서울시 노원구 중계동 369-7 중계주공 2단지상가 106
284,공릉점,서울특별시,노원구,서울시 노원구 공릉동 240-235
285,중곡점,서울특별시,광진구,서울시 광진구 중곡동 79-10
286,면목점,서울특별시,중랑구,서울시 중랑구 면목동 657-56
287,신내점,서울특별시,중랑구,서울시 중랑구 신내동 472-3
288,공릉2점,서울특별시,노원구,서울시 노원구 공릉동 707 공릉 2단지 상가 111
289,중계점,서울특별시,노원구,서울시 노원구 중계동 503 중계그린상가 B-107
290,상계2점,서울특별시,노원구,서울시 노원구 동일로215길 81
291,수락산점,서울특별시,노원구,서울시 노원구 상계동 1110-6 종합상가 103
292,칠금봉방점,충청북도,충주시,충북 충주시 연수동 1245
293,청전점,충청북도,제천시,충북 제천시 숭문로20길 26(의림동)
294,지현점,충청북도,충주시,충북 충주시 사직산8길 22(지현동)
295,제천A점,충청북도,제천시,충북 제천시 숭의로1길 2
296,이류점,충청북도,충주시,충북 충주시 대소원면 대소원1길 21
297,용산점,충청북도,충주시,충북 충주시 용정2길 39-1(성남동)
298,영춘점,충청북도,단양군,충북 단양군 영춘면 온달평강로 56
299,연수점,충청북도,충주시,충북 충주시 금릉동 708-2
300,수안보점,충청북도,충주시,충북 충주시 수안보면 장터1길 19
301,부강점,충청북도,충주시,충북 충주시 교현동 1087
302,금가점,충청북도,충주시,충북 충주시 금가면 강수로 335
303,충북혁신도시점,충청북도,진천군,충북 진천군 덕산면 연미로 87-1 상가1층
304,광혜원점,충청북도,음성군,충청북도 음성군 대소면 대청로 15
305,오창호수공원점,충청북도,청주시,충청북도 청주시 청원구 오창읍 양청리 752-4 102호
306,음성점,충청북도,음성군,충청북도 음성군 음성읍 시장로 43
307,탑동점,충청북도,청주시,충청북도 청주시 상당구 탑동로1번길 104
308,괴산점,충청북도,괴산군,충청북도 괴산군 괴산읍 동부리 627-20
309,가경점,충청북도,청주시,충청북도 청주시 흥덕구 풍산로89번길 31 세원아파트 상가 103
310,봉명점,충청북도,청주시,충청북도 청주시 흥덕구 봉명로149번길 6
311,부윤점,충청북도,음성군,충청북도 음성군 대소면 대동로 515
312,강서점,충청북도,청주시,충청북도 청주시 흥덕구 서현중로 56
313,감곡점,충청북도,음성군,충청북도 음성군 감곡면 장감로 189
314,진천점,충청북도,진천군,충청북도 진천군 진천읍 문화2길 12
315,복대점,충청북도,청주시,충청북도 청주시 흥덕구 성봉로 267
316,석교점,충청북도,청주시,충청북도 청주시 상당구 영운로 140
317,금천점,충청북도,청주시,충청북도 청주시 상당구 수영로259번길 64
318,소라점,충청북도,청주시,충청북도 청주시 상당구 원봉로 25 신라아파트 상가 111호
319,충북덕산점,충청북도,진천군,충청북도 진천군 덕산면 초금로 757-2
320,영동점,충청북도,영동군,충청북도 영동군 영동읍 영산로1길 3
321,옥천점,충청북도,옥천군,충청북도 옥천군 옥천읍 금장로 113
322,용산점,충청북도,영동군,충청북도 영동군 용산면 용산로 307
323,배방북수점,충청남도,아산시,충청남도 아산시 배방읍 배방로173번길 20-18
324,용화점,충청남도,아산시,충청남도 아산시 온중로 20
325,내포점,충청남도,홍성군,충청남도 홍성군 홍북읍 청사로48번길 16
326,신양점,충청남도,예산군,충청남도 예산군 신양면 청신로 389
327,동문점,충청남도,서산시,충청남도 서산시 한마음2로 49
328,서면점,충청남도,서천군,충청남도 서천군 서면 서인로 361
329,석문점,충청남도,당진시,충청남도 당진시 석문면 해명4로3길 34
330,강경점,충청남도,논산시,충청남도 논산시 강경읍 계백로153번길 4
331,한진포구점,충청남도,당진시,충청남도 당진시 송악읍 한진포구길 27
332,예산덕산점,경기도,고양시,충청남도 예산군 덕산면 봉운로 21
333,대천동점,충청남도,보령시,충청남도 보령시 남대천로 73
334,신평점,충청남도,당진시,충청남도 당진시 신평면 신평로 820
335,온양1동점,충청남도,아산시,충청남도 아산시 번영로 71
336,논산점,충청남도,논산시,충청남도 논산시 부창로100번길 13-19
337,신암점,충청남도,예산군,충청남도 예산군 신암면 추사로 206
338,서천점,충청남도,서천군,충청남도 서천군 서천읍 충절로29번길 18
339,신정점,충청남도,아산시,충청남도 아산시 온천대로 1333번길 15
340,엄사점,충청남도,계룡시,충청남도 계룡시 엄사면 엄사중앙로 65-10 동아아파트 상가 106호
341,인주점,충청남도,아산시,충청남도 아산시 인주면 현대로 1032
342,음암점,충청남도,서산시,충청남도 서산시 음암면 상홍리 155-3 우리아파트상가
343,당진1점,충청남도,당진시,충청남도 당진시 밤절로 103
344,웅천점,충청남도,보령시,충청남도 보령시 웅천읍 장터중앙길 126
345,안면점,충청남도,태안군,충청남도 태안군 안면읍 장터로 140-1
346,인지점,충청남도,서산시,충청남도 서산시 인지면 무학로 1728
347,금산점,충청남도,금산군,충청남도 금산군 금산읍 금산로 1465
348,부여점,충청남도,부여군,충청남도 부여군 부여읍 석탑로 3
349,신도안점,충청남도,계룡시,충청남도 계룡시 신도안면 신도안1길 61 중부상가
350,샘마을점,충청남도,아산시,충청남도 아산시 신창면 남성길 99
351,모종점,충청남도,아산시,충청남도 아산시 모종동 577-13
352,천북점,충청남도,보령시,충청남도 보령시 천북면 하궁길 10
353,공주1점,충청남도,공주시,충청남도 공주시 우금티로 755 2층
354,해미점,충청남도,서산시,충청남도 서산시 해미면 남문1로 47
355,모항점,충청남도,태안군,충청남도 태안군 소원면 모항파도로 113
356,원북점,충청남도,태안군,충청남도 태안군 원북면 원이로 841-4
357,명지점,충청남도,서산시,충청남도 서산시 대산읍 물안1로 123
358,두정2점,충청남도,천안시,충청남도 천안시 서북구 두정역서1길 4-12 다온빌리지 1층상가
359,목천점,충청남도,천안시,충청남도 천안시 동남구 목천읍 교천지산길 16
360,장재점,충청남도,아산시,충청남도 아산시 배방읍 연화로 36 연화마을8단지 상가2동 104호
361,성거점,충청남도,천안시,충청남도 천안시 서북구 성거읍 송남리 585
362,초원점,충청남도,아산시,충청남도 아산시 음봉면 음봉로681번길 24 초원아파트109-101호
363,신방점,충청남도,천안시,충청남도 천안시 동남구 수곡2길 5
364,청수점,충청남도,천안시,충청남도 천안시 동남구 풍세로 932
365,입장점,충청남도,천안시,충청남도 천안시 서북구 입장면 입장로 121 초원상가6-103호
366,쌍용봉명점,충청남도,천안시,충청남도 천안시 서북구 봉서5길 18
367,백석점,충청남도,천안시,충청남도 천안시 서북구 백석4길 12
368,쌍용월봉점,충청남도,천안시,충청남도 천안시 서북구 월봉4로 140-16 월봉태영아파트상가 107호
369,쌍용능수점,충청남도,천안시,충청남도 천안시 서북구 쌍용16길 54-1
370,북면중앙점,충청남도,천안시,충청남도 천안시 동남구 북면 상동리 86-14 중앙아파트 상가 16호
